Query,pred
Which fantasy book is written by peter telep?,books_in_genre
what is a fiction book by Tony Franks-Buckley?,books_in_genre
who is the author of colonel sun,author_of_book
Who wrote the new canada,author_of_book
what literary composition was written by francine pascal,book_from_author
What genre of book is blood and chocolate?,genre
Who is the publisher of the videogame timeshift,publisher
What did john norman write?,book_from_author
what is a business book?,books_in_genre
what language was still life with crows originally in?,language
who wrote a wizard abroad?,author_of_book
who published aero the acro-bat,publisher
What is the genre of the book married to music?,genre
The publisher of prison tycoon 3: lockdown is?,publisher
what books have susan estrich written?,book_from_author
who wrote monday mourning,author_of_book
What is a famous fiction book,books_in_genre
Which company published amberstar?,publisher
What book is a dystopia genre?,books_in_genre
What is the name of a book written by andrew greeley?,book_from_author
what is a science fiction book?,books_in_genre
What is the name of a speculative fiction book,books_in_genre
Who authored hernani (drama)?,author_of_book
lord of the flies  is what book genre,genre
who was the author of the company,author_of_book
what are books written by neil degrasse tyson,book_from_author
what is one of julia cameron's written works,book_from_author
Who was the author of no more dying then?,author_of_book
What type of book is grace abounding to the chief of sinners?,genre
what genre is the mount,genre
What would be called a fantasy book,books_in_genre
what kind of book is the king of the golden river?,genre
Name a book from the travel genre,books_in_genre
What works has harry turtledove written?,book_from_author
What is a notable science fiction,books_in_genre
what is the 2001 novel written by terry prachett,books_in_genre
What kind of book is mystery of the whale tattoo,genre
What kind of book is when harlie was one?,genre
What kind of book is the spare room,genre
What was the original language of the book  last contact,language
what kind of book is such is my beloved,genre
who wrote quark/4,author_of_book
Who's the author that wrote piranha to scurfy,author_of_book
who was the publisher behind wizards & warriors,publisher
what is the name of a 2006 speculative fiction novel,books_in_genre
what is a fiction book based around StarTrek,books_in_genre
what book genre is tales of the jazz age?,genre
what kind of book is sent for you yesterday,genre
is the mysterious mr quin fiction or nonfiction,genre
"the book wizard, written in 1980, is of what genre",genre
what are examples of mystery books,books_in_genre
who is the american publisher of the game blinx 2: masters of time and space?,publisher
"the book the mummy, or ramses the damned was done in what genre",genre
what is a 1980 speculative fiction book,books_in_genre
what is a suspense book,books_in_genre
what types of book is alchemy,genre
What's a fiction book written by simon hawke,books_in_genre
What is the name of a notable book written by jack vance,book_from_author
what type of novel is the brush-off,genre
What kind of book is the seeing stone,genre
m1 tank platoon was published under what company?,publisher
in what language is the book the village schoolmaster written,language
what genre is the book syrup,genre
What is a book of the fiction literary genre?,books_in_genre
Name a work written by author dav pilkey,book_from_author
What is one book that's considered a suspense genre?,books_in_genre
In what language is repetition written in?,language
what are some works by jackie collins?,book_from_author
What is a book that david leavitt wrote?,book_from_author
what is a science fiction book,books_in_genre
what has james jacobs (game designer) written,book_from_author
who is the publisher for spider-man 3,publisher
What is the title of a philosophy book?,books_in_genre
what genre of book is dragonwings written in?,genre
who authored the book red glove,author_of_book
what was the original language for the book the glass cafe,language
What type of story is zothique,genre
what kind of book is the the green mile,genre
what genre is betrayed,genre
who published call of duty: modern warfare 3 – defiance,publisher
what is a novel written by Martin Allerdale Grainger?,books_in_genre
who was the publisher of the computer videogame simcity,publisher
who wrote life and death are wearing me out,author_of_book
Is the awakening a novel or a short story,genre
what is a book in the essay genre,books_in_genre
Who authored more than human?,author_of_book
what book is written as biography,books_in_genre
What's a book in the reference genre,books_in_genre
what type of narrative is the burning court?,genre
What is the title of a speculative fiction book,books_in_genre
What is the name of a book written by jack kerouac,book_from_author
who wrote messiah?,author_of_book
dajas book was written in which language?,language
which book can be found in the genre of black comedy,books_in_genre
which book is speculative fiction,books_in_genre
who is the author of blow fly?,author_of_book
who is the publisher of plants vs. zombies,publisher
Name a book written by theodore dreiser,book_from_author
what was written by jeffrey ullman,book_from_author
"Who's the author of o shepherd, speak!",author_of_book
who published sonic the hedgehog,publisher
What sort of book is the proud and the free,genre
what genre would ode to a banker go under,genre
what genre is the book the best science fiction stories and novels: 1956?,genre
what book belongs to reference,books_in_genre
Who wrote the tigers daughter?,author_of_book
What's a work written by james hilton?,book_from_author
who wrote yerma,author_of_book
Who wrote the cruelest month,author_of_book
what company published the game tokimeki memorial online,publisher
Who is the publisher of the video game strategy challenges collection 2: in the wild,publisher
Who published command & conquer?,publisher
who authored ishmael (novel),author_of_book
Name a novel.,books_in_genre
what genre is the book run considered,genre
what kind of fiction is she is the darkness,genre
is a fate totally worse than death fiction or non-fiction,genre
what kind of book is rommel drives on deep into egypt,genre
who wrote a morbid taste for bones,author_of_book
What genre of book is british summertime?,genre
what is a book in the genre speculative fiction,books_in_genre
which book is a fantasy book,books_in_genre
what type of book was anthem,genre
which book was written by ian kershaw,book_from_author
who srote quo vadis,author_of_book
what is a speculative fiction book?,books_in_genre
what books is considered suspense?,books_in_genre
what book did edward humes write,book_from_author
what work did  lawrence grossberg write,book_from_author
what is a speculative fiction book?,books_in_genre
what was written by j. r. r. tolkien,book_from_author
what is a type of fiction book?,books_in_genre
Which book is a horror book?,books_in_genre
Who authored monicas story?,author_of_book
what is the publisher company of the x-com game,publisher
what novel genre is see delphi and die,genre
what book genre is the broken vase?,genre
what kind of book is whitechapel gods,genre
which book falls under the genre of philosophy,books_in_genre
what kind of book is mussolini: his part in my downfall,genre
what book is a type of graphic novel?,books_in_genre
what language was the jewbird originally written in,language
who wrote something called the problem of the covered bridge,author_of_book
what type of book is stargonauts,genre
which field guide books that contains animals?,books_in_genre
what was the original language for umr-e-lahaasil ka haasil,language
what is a fantasy book?,books_in_genre
What is the genre of allan's wife & other tales?,genre
what book genre is a thousand years of good prayers,genre
who was the publisher for the computer videogame superman,publisher
who is given credit for the written work star wind,author_of_book
Name a book in the suspense genre,books_in_genre
who wrote have a little faith?,author_of_book
Who wrote the book piercing,author_of_book
what books did cynthia rylant write?,book_from_author
Who is the writer of the adventures of tom sawyer,author_of_book
what is an example of a fiction book,books_in_genre
What language was one for the morning glory originally written in,language
What are the names of books written by george orwell?,books_in_genre
what books did hans christian andersen write?,book_from_author
what are the names of fiction books,books_in_genre
what book classification is moth smoke,genre
What is a written work by john clute?,book_from_author
who wrote the book a little house traveler?,author_of_book
What's an example of a science fiction book,books_in_genre
is speculative fiction or comedic non-fiction the genre of the beginning place,genre
what books have jonathan swift written?,book_from_author
what book genre is the dragon waiting: a masque of history?,genre
what type of book is the king incorporated?,genre
whats an example of a biography book,books_in_genre
who is the publisher of kessen ii,publisher
What is the genre of the book titled birthday letters,genre
what kind of book was stargirl (novel),genre
what is a biographical book?,books_in_genre
who was the publisher of the computer videogame  hot wheels: stunt track challenge,publisher
what book discusses about regency romance,books_in_genre
what are names of novel,books_in_genre
what style of work is dolores claiborne?,genre
"What type of genre is the book ""Island""?",genre
What kind of book is seeds of yesterday?,genre
What is the name of a fiction book,books_in_genre
Name a literary fiction,books_in_genre
what genre is the book the eagle and the wolves,genre
what kind of fiction is the journey (animorphs,genre
what types of book is the summer that never was,genre
Name a biographical book in the early 20th century.,books_in_genre
what is the publisher for the computer videogame timeshift,publisher
who wrote not in the flesh,author_of_book
is the creature of black water lake a fiction or non-fiction book,genre
what is the title of a work by h. rider haggard,book_from_author
What language is a bit on the side written in?,language
what book type is the book of lies,genre
what the book title of a fiction book,books_in_genre
what is the developer company of the portal video game,publisher
what's the title of a ken macleod science fiction book,books_in_genre
what's the title of a fiction book,books_in_genre
what book genre is the coachman rat?,genre
who is the publisher for the mystery of the druids,publisher
who published deflektor,publisher
what are autobiography books,books_in_genre
which language is written in stranger with my face,language
who published nancy drew: the white wolf of icicle creek,publisher
what company published marios super picross,publisher
what type of book is wheelock's latin?,genre
What did elmore leonard write?,book_from_author
who is the publisher of the elder scrolls iv: oblivion,publisher
what kind of book is faith of the fallen,genre
"What type of book genre is ""The Prince""?",genre
what is the title of a mystery,books_in_genre
Who is the author of the book 42nd street,author_of_book
what are book titles in the speculative fiction genre,books_in_genre
what is one of george gamow's written works,book_from_author
name a known literary mystery genre,books_in_genre
what is a book in the genre of science fiction,books_in_genre
What are some written works by bertolt brecht,book_from_author
"speculative fiction has given birth to which famous novel, later turned movie and television series?",books_in_genre
what genre is on beauty,genre
What's a book that eric flint wrote,book_from_author
who wrote under the green star,author_of_book
What language was cold fire written in?,language
is the mitfords: letters between six sisters a anthology or horro book,genre
what type of book is fablehaven: secrets of the dragon sanctuary,genre
What kind of book is worldwar: striking the balance?,genre
What type of book is caine black knife,genre
what publisher does monster maulers have,publisher
what kinds of book is lord foul's bane,genre
which book was written by laurence olivier,book_from_author
which book is fiction,books_in_genre
What is the title of a suspense book?,books_in_genre
who is the publisher of hello kitty no hanabatake,publisher
which book genre is rogue queen in,genre
what is a novel by virginia woolf,books_in_genre
what is a work by jane jacobs,book_from_author
what books did tanya huff write?,book_from_author
What has marguerite henry written,book_from_author
whats the title of christian book,books_in_genre
"if spellfire is a novel, what kind of book is it",genre
what is a speculative fiction book?,books_in_genre
Who wrote the book jubilee?,author_of_book
what type of fiction is the book toxin,genre
what type of book is the emperor of ice cream,genre
who is the author of oath of swords,author_of_book
rally point is identified with what literary genre?,genre
which american author wrote one fine day?,author_of_book
Which book is a biography?,books_in_genre
which genre of fiction is the man who never missed,genre
What genre is cold heaven,genre
"What is the genre of the book ""The Ice Queen""?",genre
What kind of book is gay marriage,genre
What can be considered a book under the genre fiction?,books_in_genre
What is an example of a mystery book,books_in_genre
Name a fiction book.,books_in_genre
the book and the devil will drag you under is what genre,genre
Name a fiction book,books_in_genre
what language is the track of sand written,language
what are books that mel odom has written,book_from_author
what kind of book is the mad ship,genre
What is a 2003 mystery novel?,books_in_genre
what type of book is a clockwork orange,genre
Who is the author from the book the worms of kukumlima,author_of_book
what type of book is fleshmarket close?,genre
who was he author of a civil contract,author_of_book
what works have david zinczenko written?,book_from_author
what is an economics book,books_in_genre
what language was the journey of ibn fattouma originally written in?,language
who is the author of heaven has no favorites,author_of_book
Name a sword and sorcery book,books_in_genre
What is a work written by alan ayckbourn?,book_from_author
Which company published the game kirby mass attack,publisher
what book is considered a novel?,books_in_genre
who authored a year with swollen appendices,author_of_book
who is the publisher of racket attack?,publisher
What is the name of a book that is apart of the fiction literary genre?,books_in_genre
what books has tad williams written,book_from_author
is fathers and sons on philosophy or history,genre
What genre is the book Cryoburn?,genre
What genre is the book Vurt.,genre
Who's the author of the book the dolphins of pern,author_of_book
Who wrote echo park,author_of_book
what type of book is the summons?,genre
what books have joseph wambaugh written?,book_from_author
Name a science fiction adventure novel written by Jack Vance,books_in_genre
what kind of book is b is for beer,genre
is murgunstrumm and others a horror or mystery book,genre
what type of book is the dead of jericho,genre
what is the original language used for the book great jones street,language
the book poison is what genre,genre
what book is fiction?,books_in_genre
what language isspirit bound originally written in,language
who was the author of walk this way: the autobiography of aerosmith,author_of_book
what type of book is under heaven,genre
What is the name of a fiction book,books_in_genre
What is the genre of the book the gilded man,genre
what genre is the cat who could read backwards,genre
What is a book in the sociology genre?,books_in_genre
which fantasy books are written by troy denning?,books_in_genre
what is the genre specification of v,genre
what type of book is finch,genre
Name a book from the speculative fiction genre,books_in_genre
what was written by gordon r. dickson?,book_from_author
which book is in the  sociology literary genre,books_in_genre
is witches abroad a nonfiction or fiction book,genre
What is an example of a speculative fiction book?,books_in_genre
name a book in the genre of music,books_in_genre
what's a novel by Lilian Jackson Braun?,books_in_genre
Who was the author of homeward bound,author_of_book
what book is considered mystery?,books_in_genre
what is a 1995 science fiction book,books_in_genre
What is a book about philosophy?,books_in_genre
what type of book is the devil in velvet,genre
What genre of book is the treasure in the royal tower,genre
what kind of book is crazy,genre
What is the title of a suspense book?,books_in_genre
Name the biography written by Milton Meltzer?,books_in_genre
what is the company producer of the game outlive,publisher
What is a novel in the literary drama romance?,books_in_genre
joe & mac was published by what company,publisher
what is the genre for the book brain droppings,genre
what is the name of a book by deepak chopra,book_from_author
what type of book is skin trade,genre
what kind of book is the soldiers art?,genre
who is the publisher of metal warriors,publisher
what book is in the literary genre science fiction?,books_in_genre
what book is a historical fiction?,books_in_genre
what is the title of a  speculative fiction book,books_in_genre
Name a book that is a biography,books_in_genre
what book is a fiction book?,books_in_genre
What was written by peter abrahams,book_from_author
Which company published need for speed ii?,publisher
What is the name of a book written by jack kerouac,book_from_author
What is the name of a crime fiction novel?,books_in_genre
What is the title of a fiction book?,books_in_genre
What author wrote by heresies distressed?,author_of_book
what books fall under the fiction genre,books_in_genre
who wrote cover up?,author_of_book
what is a book written by jennifer crusie,book_from_author
who is the author of lassommoir?,author_of_book
What kind of book is devil in a blue dress,genre
Who wrote a dangerous path,author_of_book
who authored the immigrants,author_of_book
whats the title of a book in the speculative fiction genre,books_in_genre
who is the producer of x-men ii: the fall of the mutants,publisher
what did edgar allan poe write,book_from_author
what kind of book is the ghost pirates?,genre
which author wrote the mandelbaum gate,author_of_book
was 1922 crime novel was written by edgar wallace,book_from_author
which british company published dark fusion,publisher
who is the author of the burning world?,author_of_book
how is space viking classified,genre
what type of the subject matter can be found in the entropy tango,genre
is the celestial omnibus a short story or a novel?,genre
The genre of the young-adult novel bad girls is what?,genre
Name a work of fiction.,books_in_genre
what type of book is the judas pair,genre
what book genre is  the watsons go to birmingham – 1963,genre
Which book is a novel?,books_in_genre
who is a publisher of the computer videogame pyst,publisher
who was the author of a voyage to arcturus?,author_of_book
what literary genre is the book  eyes of the calculor,genre
Who is the author of the book no connection,author_of_book
who was the published the game flipnote studio?,publisher
what book is considered speculative fiction?,books_in_genre
What type of book is ally?,genre
what kind of book is the dancing floor,genre
what is the rating of orca (film),books_in_genre
Who was the author of the book called rose-marie,author_of_book
what kind of book is the gods are athirst,genre
What type of book is the sacrifice,genre
What is the genre of sapphique?,genre
what company was popular for sea dragon,publisher
What was a city in winter originally written in,language
who authored the book soul of the fire,author_of_book
Who published the game the faery tale adventure,publisher
who is the author of the book liars in love,author_of_book
What is the name of a novel?,books_in_genre
what kind of book is the father hunt,genre
Name a mystery novel by Douglas Adams.,books_in_genre
what is the name of a travel book?,books_in_genre
What kind of book is imajica,genre
Who's the author of boba fett: a new threat,author_of_book
what book genre is the perks of being a wallflower,genre
what genre of book does dragonfly in amber belong to?,genre
which category is the romulan way often put under,genre
which books fall under the genre of literary modernism,books_in_genre
who is the author of the comforters,author_of_book
Name a science fiction novel popular in the 80's.,books_in_genre
What kind of book is orca,genre
what is galactic odyssey about,genre
what are books about detective fiction,books_in_genre
Who wrote eon?,author_of_book
what genre of fiction is the seedling,genre
What is the name of a speculative fiction book,books_in_genre
what genre is the cutting room?,genre
Who was the author from the book titled the art of loving,author_of_book
Who published porky pigs haunted holiday,publisher
What kind of a book is toast: and other rusted futures,genre
what are works written by diane ackerman,book_from_author
What is the name of a book that is an autobiography,books_in_genre
what genre is the mysterious flame of queen loana,genre
Who wrote the pigman & me?,author_of_book
what genre is the book the barnum museum,genre
what type of film is on wings of eagles?,genre
What book did Roger Zelazny write?,book_from_author
which book is in the genre novel?,books_in_genre
what type of novel is the haunting,genre
Who wrote the magicians elephant?,author_of_book
what kind of book is the gift,genre
What genre is the book the decameron?,genre
what is the original written language of the englishman's boy,language
What genre of book is the thing about jane spring,genre
What is the genre of the book The restaurant at the end of the universe?,genre
What is the genre of the book the body farm (novel),genre
What is the 1976 science fiction novel where fantasy is ilustrated?,books_in_genre
what topic is discussed in the book of lies (crowley),genre
what is a book written by william shatner,book_from_author
What is the original language of daughter of venice?,language
Name a book that h. p. lovecraft penned,book_from_author
what genre was the elves of cintra written in,genre
Who published the videogame high school musical 3: senior year dance?,publisher
Which genre is the book tree and leaf apart of?,genre
what was the original language of dream dancer,language
"What type of book is ""The Fifteen Decisive Battles of the World""?",genre
who is the publisher of super adventure island ii?,publisher
What kind of book is deryni checkmate,genre
Who published the video game phelios,publisher
what is the title of a  biography book by Betty Rollin,books_in_genre
who wrote city of joy?,author_of_book
What language is crumb borne written in,language
What company published the game two worlds,publisher
what type of written work is the uplift war,genre
what company published toy story racer,publisher
What is the name of a book that is considered to be speculative fiction,books_in_genre
what kind of book is the view from castle rock,genre
What's a science fiction novel by r a lafferty,books_in_genre
what kinds of book is to wake the dead,genre
whats the title of a suspense genre book,books_in_genre
what is the genre of the fantastic swordsmen,genre
what is an example of a biography?,books_in_genre
who published the game dungeon siege,publisher
What is an example of a western (genre) book?,books_in_genre
What type of book is triton?,genre
"who was the author of gödel, escher, bach: an eternal golden braid",author_of_book
what is kind of book is on the road?,genre
Name a speculative fiction book,books_in_genre
which book was written by william peter blatty,book_from_author
What is a fantasy book?,books_in_genre
who wrote the book hitler's war?,author_of_book
Name a book in the speculative fiction genre,books_in_genre
what book genre is leave it to psmith,genre
what novels have been written by steven barnes?,book_from_author
what literary genre is the book  summer knight,genre
What type of book is dreamer,genre
who wrote spring awakening,author_of_book
what work is written by  fritz leiber,book_from_author
What type of book is a wanted man?,genre
What is a piece written by william safire,book_from_author
who is the author of what to expect when you're expecting,author_of_book
who published high school musical 2: work this out!,publisher
what was the original language for the seven heroes and five gallants,language
A fantasy book would be what,books_in_genre
What type of book is no time like show time,genre
What is the original language of the written work tenderness?,language
what book genre does the last american fall into?,genre
"What genre of book is ""Black & Blue""?",genre
what type of book is  sketches new and old,genre
what type of book is at the mountains of madness and other novels,genre
what type of book is the saint in miami?,genre
which kind of genre could the book congo be put in,genre
Which genre is the book whale talk from,genre
what works have been written by tim wise?,book_from_author
what kind of book is the spirit of the age?,genre
what type of book is taran wanderer,genre
who was the author of the work mostly harmless?,author_of_book
What work was written by luís de camões,book_from_author
what kind of book is the case-book of sherlock holmes,genre
What genre of book is the end of history and the last man?,genre
Who wrote azincourt?,author_of_book
What genre of book is waking the dead,genre
what is a book within the fantasy literary genre,books_in_genre
What company published razes hell game?,publisher
What is the genre of permutation city?,genre
who wrote the book sons of the oak,author_of_book
what is a steampunk book?,books_in_genre
what type of fiction is the book illegal aliens,genre
what kind of subject does the tales of pain and wonder book illustrate,genre
what kind of fictional book is behold the man,genre
who published nhl 2004,publisher
who published pac-man vs.,publisher
what type of book is revenge of the lawn?,genre
what genre is the book my days in?,genre
What is the name of a book written by dan brown,book_from_author
what is the name of a 2005 humour book,books_in_genre
what kind of book is the mount,genre
What style of book is maza of the moon?,genre
which 2002 novel was written by jack higgins?,book_from_author
which book was written by andrew klavan,book_from_author
what type of book is monsignor quixote?,genre
what company published uplink?,publisher
What was a book william tenn wrote?,book_from_author
what book did tristan taormino write?,book_from_author
who is the author of the house of blue leaves,author_of_book
What sort of book is the snow tiger,genre
who was the author of blood rites,author_of_book
What is a book in the novel genre?,books_in_genre
what kind of fiction is nine princes in amber,genre
What genre is the hidden harbor mystery,genre
Who published champions: return to arms,publisher
what is the genre of mr standfast,genre
what type of book is babylon 5: clarks law,genre
what is a name of a mystery book,books_in_genre
what is a book written by peter rinearson,book_from_author
who is the publisher of toejam & earl in panic on funkotron,publisher
What book is focused on sociology,books_in_genre
Who is the publisher of the videogame p.t.o. iv?,publisher
What would be a science fiction novel,books_in_genre
which work of fiction was written by tom robbins?,books_in_genre
"What language was \\""o\\"" is for outlaw originally written in",language
which language is written in tiassa,language
Who was the electronic publisher of the game called fluid,publisher
Who published little big adventure 2?,publisher
what type of book is life class,genre
What genre of book is the blind man of seville,genre
What book has judith merril written,book_from_author
who published donkey kong country returns,publisher
what kind of book is fables,genre
who wrote follower (short story),author_of_book
what genre is the book the drowning girl?,genre
who published the game jade empire,publisher
who published air inferno,publisher
what is a book in the genre fiction,books_in_genre
what are the names of fantasy books,books_in_genre
What is a humour book title?,books_in_genre
what genre is the book gormenghast,genre
What genre of novel is neveryóna?,genre
Name a book from the genre speculative fiction,books_in_genre
what book is in the speculative fiction genre?,books_in_genre
what types of book is in the night kitchen,genre
Which fiction book was written by Maeve Binchy?,books_in_genre
what book is fiction written by Tim Powers,books_in_genre
What's a fantasy book written by stephen baxter,books_in_genre
what category does the book voices: a thriller belong in,genre
what genre is the book in your dreams,genre
what kind of book is black sun,genre
"What genre is the book ""The Secret Pilgrim""?",genre
Who wrote the book dragonsdawn,author_of_book
What company published the dishwasher: dead samurai?,publisher
what literary genre is oracle's queen,genre
which company published tork: prehistoric punk,publisher
who authored our sunshine?,author_of_book
what written work did robin hobb author,book_from_author
what kinds of book is the fifth discipline,genre
who is the main publisher of rescue on fractalus!?,publisher
What genre is the book weaver from,genre
which book is history,books_in_genre
what book is by margit sandemo?,book_from_author
What is a work written by steven erikson,book_from_author
What genre of book is the naming of the dead,genre
what is a book in the science fiction literary genre,books_in_genre
What is a book written by georgette heyer?,book_from_author
who is the author of the dogs of riga,author_of_book
which language was don't go near the water originally written in,language
what language is danger on vampire trail originally in?,language
which book did august derleth write,book_from_author
is incubus dreams a fiction or nonfiction book,genre
WHat's an example of a fantasy book,books_in_genre
What genre of book is oracle night?,genre
what is the name of a suspense book,books_in_genre
What is one of R.L. Stine's horror books?,books_in_genre
what type of book is the the darkest evening of the year,genre
which book was written by ben bova,book_from_author
What genre of book is the porcupine?,genre
which fiction book was written by john grismhan?,books_in_genre
what is the title of a book in the  crime fiction genre,books_in_genre
What's a mystery book written by james cain,books_in_genre
what is the name of a biography,books_in_genre
who was the author of komarr,author_of_book
the conversations at curlow creek was developed by what author?,author_of_book
what was written by stephen hawking,book_from_author
Name one of ernest hemingway's book,book_from_author
what kind of book is  the english gentleman,genre
who wrote the book pyongyang,author_of_book
what kind of book is gone?,genre
which 1930 novel is written by leslie charteris?,books_in_genre
what is a fiction featuring dragons,books_in_genre
what book genre is orbit 1?,genre
Which genre of book is the godfather's revenge,genre
what type of book is felidae,genre
what is the literary genre for the book  the black tulip,genre
Name a fantasy genre book character,books_in_genre
Which genre is the book club dead part of,genre
what kind of book is the last detective,genre
what is a book written by meg cabot,book_from_author
