ID,Query,Subject,FreebasePredicate,PredicateList,tagme,tagme_rho,spot0.3,spot0.4,spot0.5,spot0.6
736,what type of genre is the book the runaway jury,http://dbpedia.org/resource/The_Runaway_Jury,genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'forward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Runaway_Jury,0.576123833656311,http://dbpedia.org/resource/Runaway_Jury,http://dbpedia.org/resource/Runaway_Jury,http://dbpedia.org/resource/Runaway_Jury,http://dbpedia.org/resource/Runaway_Jury
739,what language was wedge: the secret war between the fbi and cia originally in,http://dbpedia.org/resource/Wedge:_The_Secret_War_between_the_FBI_and_CIA,language,"[{'Predicate': 'http://dbpedia.org/ontology/language', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Central_Intelligence_Agency,0.48413610458374023,http://dbpedia.org/resource/Language,http://dbpedia.org/resource/Language,http://dbpedia.org/resource/Language,http://dbpedia.org/resource/Language
798,Who is the publisher on the videogame calling all cars!,http://dbpedia.org/resource/Calling_All_Cars!,publisher,"[{'Predicate': 'http://dbpedia.org/ontology/publisher', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Calling_All_Cars!,0.6191820502281189,http://dbpedia.org/resource/Publishing,http://dbpedia.org/resource/Publishing,http://dbpedia.org/resource/Publishing,http://dbpedia.org/resource/Publishing
1045,which book did jonathan tweet write,http://dbpedia.org/resource/Jonathan_Tweet,book_from_author,"[{'Predicate': 'http://dbpedia.org/ontology/author', 'Direction': 'backward', 'Constraint': 'http://dbpedia.org/ontology/WrittenWork'}]",http://dbpedia.org/resource/Jonathan_Tweet,0.5581040382385254,http://dbpedia.org/resource/Jonathan_Tweet,http://dbpedia.org/resource/Jonathan_Tweet,http://dbpedia.org/resource/Jonathan_Tweet,http://dbpedia.org/resource/Jonathan_Tweet
1058,who published theme park world,http://dbpedia.org/resource/Theme_Park_World,publisher,"[{'Predicate': 'http://dbpedia.org/ontology/publisher', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Theme_Park_World,0.626468300819397,http://dbpedia.org/resource/Amusement_park,http://dbpedia.org/resource/Amusement_park,http://dbpedia.org/resource/Amusement_park,http://dbpedia.org/resource/Amusement_park
1062,What genre is the book portraits in moonlight?,http://dbpedia.org/resource/Portraits_in_Moonlight,genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'forward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Portraits_in_Moonlight,0.5,,,,
1213,which country was mitti made in,http://dbpedia.org/resource/Mitti,country,"[{'Predicate': 'http://dbpedia.org/ontology/country', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Mitti,0.0515873022377491,,,,
1219,"What is the genre of the book ""False Memory""?",http://dbpedia.org/resource/False_Memory_(novel),genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'forward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Genre,0.26523274183273315,http://dbpedia.org/resource/False_memory,http://dbpedia.org/resource/False_memory,http://dbpedia.org/resource/False_memory,http://dbpedia.org/resource/False_memory
1249,What country produced the film Three Guys Named Mike.,http://dbpedia.org/resource/Three_Guys_Named_Mike,country,"[{'Predicate': 'http://dbpedia.org/ontology/country', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Three_Guys_Named_Mike,0.5318876504898071,http://dbpedia.org/resource/Three_Guys_Named_Mike,http://dbpedia.org/resource/Three_Guys_Named_Mike,http://dbpedia.org/resource/Three_Guys_Named_Mike,http://dbpedia.org/resource/Three_Guys_Named_Mike
1281,who publishes the game pet pals: animal doctor,http://dbpedia.org/resource/Pet_Pals:_Animal_Doctor,publisher,"[{'Predicate': 'http://dbpedia.org/ontology/publisher', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Pet_Pals:_Animal_Doctor,0.5932539105415344,,,,
1354,what kind of book is the fortunate pilgrim,http://dbpedia.org/resource/The_Fortunate_Pilgrim,genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'forward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/The_Fortunate_Pilgrim_(miniseries),0.5,http://dbpedia.org/resource/Pilgrim,http://dbpedia.org/resource/Pilgrim,http://dbpedia.org/resource/Pilgrim,http://dbpedia.org/resource/Pilgrim
1357,what genre is the book the planet on the table,http://dbpedia.org/resource/The_Planet_on_the_Table,genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'forward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/The_Planet_on_the_Table,0.5,http://dbpedia.org/resource/Planet,http://dbpedia.org/resource/Planet,http://dbpedia.org/resource/Planet,http://dbpedia.org/resource/Planet
1379,what is the genre of armageddon 2419 a.d.,http://dbpedia.org/resource/Armageddon_2419_A.D.,genre,"[{'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Armageddon_2419_A.D.,0.6224595308303833,http://dbpedia.org/resource/Armageddon_2419_A.D.,http://dbpedia.org/resource/Armageddon_2419_A.D.,http://dbpedia.org/resource/Armageddon_2419_A.D.,http://dbpedia.org/resource/Armageddon_2419_A.D.
1581,what country is the film  visiting hours from,http://dbpedia.org/resource/Visiting_Hours,country,"[{'Predicate': 'http://dbpedia.org/ontology/country', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/What_a_Country!,0.5223429799079895,http://dbpedia.org/resource/Visiting_Hours,http://dbpedia.org/resource/Visiting_Hours,http://dbpedia.org/resource/Visiting_Hours,http://dbpedia.org/resource/Visiting_Hours
1597,Who authored a place of execution,http://dbpedia.org/resource/A_Place_of_Execution,author_of_book,"[{'Predicate': 'http://dbpedia.org/ontology/author', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Capital_punishment,0.20346863567829132,,,,
1724,Name a romance novel,http://dbpedia.org/resource/Romance_novel,books_in_genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'backward', 'Constraint': None}]",http://dbpedia.org/resource/Romance_novel,0.5023391246795654,http://dbpedia.org/resource/Romance_novel,http://dbpedia.org/resource/Romance_novel,http://dbpedia.org/resource/Romance_novel,http://dbpedia.org/resource/Romance_novel
1743,What is the genre of the book primal fear?,http://dbpedia.org/resource/Primal_Fear_(novel),genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'forward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Primal_Fear_(band),0.5,http://dbpedia.org/resource/Primal_Fear_(band),http://dbpedia.org/resource/Primal_Fear_(band),http://dbpedia.org/resource/Primal_Fear_(band),http://dbpedia.org/resource/Primal_Fear_(band)
1746,What language was escape from memory originally written in,http://dbpedia.org/resource/Escape_from_Memory,language,"[{'Predicate': 'http://dbpedia.org/ontology/language', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Escape_from_Memory,0.5,http://dbpedia.org/resource/Language,http://dbpedia.org/resource/Language,http://dbpedia.org/resource/Language,http://dbpedia.org/resource/Language
1747,what's a popular piece by ellis peters,http://dbpedia.org/resource/Edith_Pargeter,book_from_author,"[{'Predicate': 'http://dbpedia.org/ontology/notableWork', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Edith_Pargeter,0.4407407343387604,http://dbpedia.org/resource/Edith_Pargeter,http://dbpedia.org/resource/Edith_Pargeter,http://dbpedia.org/resource/Edith_Pargeter,http://dbpedia.org/resource/Edith_Pargeter
1790,what is one of marilynne robinson's written works,http://dbpedia.org/resource/Marilynne_Robinson,book_from_author,"[{'Predicate': 'http://dbpedia.org/ontology/author', 'Direction': 'backward', 'Constraint': 'http://dbpedia.org/ontology/WrittenWork'}, {'Predicate': 'http://dbpedia.org/ontology/notableWork', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Marilynne_Robinson,0.6251007318496704,http://dbpedia.org/resource/Marilynne_Robinson,http://dbpedia.org/resource/Marilynne_Robinson,http://dbpedia.org/resource/Marilynne_Robinson,http://dbpedia.org/resource/Marilynne_Robinson
1799,What is the name of a book that jane lindskold wrote,http://dbpedia.org/resource/Jane_Lindskold,book_from_author,"[{'Predicate': 'http://dbpedia.org/ontology/author', 'Direction': 'backward', 'Constraint': 'http://dbpedia.org/ontology/WrittenWork'}]",http://dbpedia.org/resource/Jane_Lindskold,0.5,http://dbpedia.org/resource/Jane_Lindskold,http://dbpedia.org/resource/Jane_Lindskold,http://dbpedia.org/resource/Jane_Lindskold,http://dbpedia.org/resource/Jane_Lindskold
1828,what is the subject of the wild?,http://dbpedia.org/resource/The_Wild_(novel),genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'forward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Wildlife,0.13586360216140747,,,,
1984,What company published the game viva piñata: trouble in paradise,http://dbpedia.org/resource/Viva_Piñata:_Trouble_in_Paradise,publisher,"[{'Predicate': 'http://dbpedia.org/ontology/publisher', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Viva_Piñata:_Trouble_in_Paradise,0.6261029839515686,http://dbpedia.org/resource/Piñata,http://dbpedia.org/resource/Piñata,http://dbpedia.org/resource/Piñata,http://dbpedia.org/resource/Piñata
2011,what book is part of the literary genre fiction?,http://dbpedia.org/resource/Fiction,books_in_genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'backward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'backward', 'Constraint': 'http://dbpedia.org/ontology/WrittenWork'}]",http://dbpedia.org/resource/Genre_fiction,0.5326666831970215,http://dbpedia.org/resource/Literary_genre,http://dbpedia.org/resource/Literary_genre,http://dbpedia.org/resource/Literary_genre,http://dbpedia.org/resource/Literary_genre
2012,What genre is aurealis,http://dbpedia.org/resource/Aurealis,genre,"[{'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Aurealis,0.35888344049453735,,,,
2048,Where was empire records released,http://dbpedia.org/resource/Empire_Records,country,"[{'Predicate': 'http://dbpedia.org/ontology/country', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Empire_Records,0.2909604609012604,http://dbpedia.org/resource/Empire_Records,http://dbpedia.org/resource/Empire_Records,http://dbpedia.org/resource/Empire_Records,http://dbpedia.org/resource/Empire_Records
2062,what country made resident evil: apocalypse,http://dbpedia.org/resource/Resident_Evil:_Apocalypse,country,"[{'Predicate': 'http://dbpedia.org/ontology/country', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Resident_Evil,0.7107890844345093,http://dbpedia.org/resource/Resident_Evil,http://dbpedia.org/resource/Resident_Evil,http://dbpedia.org/resource/Resident_Evil,http://dbpedia.org/resource/Resident_Evil
2078,what genre is dragon rider,http://dbpedia.org/resource/Dragon_Rider_(novel),genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'forward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Inheritance_Cycle,0.6055095195770264,http://dbpedia.org/resource/The_Inheritance_Cycle,http://dbpedia.org/resource/The_Inheritance_Cycle,http://dbpedia.org/resource/The_Inheritance_Cycle,http://dbpedia.org/resource/The_Inheritance_Cycle
2177,what work was  robert anthony salvatore the author of,http://dbpedia.org/resource/R._A._Salvatore,book_from_author,"[{'Predicate': 'http://dbpedia.org/ontology/author', 'Direction': 'backward', 'Constraint': 'http://dbpedia.org/ontology/WrittenWork'}, {'Predicate': 'http://dbpedia.org/ontology/notableWork', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Author,0.0843379944562912,http://dbpedia.org/resource/Egotistico_Fantastico,http://dbpedia.org/resource/Egotistico_Fantastico,http://dbpedia.org/resource/Egotistico_Fantastico,http://dbpedia.org/resource/Egotistico_Fantastico
2198,what is a famous book and film of science fiction,http://dbpedia.org/resource/Science_fiction,books_in_genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'backward', 'Constraint': None}]",http://dbpedia.org/resource/Science_fiction,0.41013288497924805,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Science_fiction
2277,Where was nuregami kenpō filmed,http://dbpedia.org/resource/Nuregami_kenpō,country,"[{'Predicate': 'http://dbpedia.org/ontology/country', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Nuregami_kenpō,0.5,,,,
2443,what books have algis budrys written?,http://dbpedia.org/resource/Algis_Budrys,book_from_author,"[{'Predicate': 'http://dbpedia.org/ontology/author', 'Direction': 'backward', 'Constraint': 'http://dbpedia.org/ontology/WrittenWork'}, {'Predicate': 'http://dbpedia.org/ontology/notableWork', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Algis_Budrys,0.6216092705726624,http://dbpedia.org/resource/Algis_Budrys,http://dbpedia.org/resource/Algis_Budrys,http://dbpedia.org/resource/Algis_Budrys,http://dbpedia.org/resource/Algis_Budrys
2448,what type of book is under the hawthorn tree,http://dbpedia.org/resource/Under_the_Hawthorn_Tree_(novel),genre,"[{'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Under_the_Hawthorn_Tree_(film),0.5,http://dbpedia.org/resource/Crataegus,http://dbpedia.org/resource/Crataegus,http://dbpedia.org/resource/Crataegus,http://dbpedia.org/resource/Crataegus
2612,which genre is getting rid of bradley a part of,http://dbpedia.org/resource/Getting_Rid_of_Bradley,genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'forward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Getting_Rid_of_Bradley,0.5,,,,
2666,What company published spartacus legends?,http://dbpedia.org/resource/Spartacus_Legends,publisher,"[{'Predicate': 'http://dbpedia.org/ontology/publisher', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Spartacus_Legends,0.5,,,,
2673,what is the original language of the book the disintegration machine,http://dbpedia.org/resource/The_Disintegration_Machine,language,"[{'Predicate': 'http://dbpedia.org/ontology/language', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/The_Disintegration_Machine,0.5,http://dbpedia.org/resource/Language,http://dbpedia.org/resource/Language,http://dbpedia.org/resource/Language,http://dbpedia.org/resource/Language
2687,What company published the video game bruce lee,http://dbpedia.org/resource/Bruce_Lee_(video_game),publisher,"[{'Predicate': 'http://dbpedia.org/ontology/publisher', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Bruce_Lee_(video_game),0.5947933197021484,http://dbpedia.org/resource/Video_game,http://dbpedia.org/resource/Video_game,http://dbpedia.org/resource/Video_game,http://dbpedia.org/resource/Video_game
2733,What genre is powder and patch,http://dbpedia.org/resource/Powder_and_Patch,genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'forward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Powder_and_Patch,0.5,,,,
2771,what country was the film master harold...and the boys done in,http://dbpedia.org/resource/Master_Harold...and_the_Boys_(1985_film),country,"[{'Predicate': 'http://dbpedia.org/ontology/country', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/&quot;Master_Harold&quot;...and_the_Boys,0.5419601202011108,,,,
2802,What is a novel within the literary genre fiction?,http://dbpedia.org/resource/Fiction,books_in_genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'backward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'backward', 'Constraint': 'http://dbpedia.org/ontology/WrittenWork'}]",http://dbpedia.org/resource/Genre_fiction,0.5281029343605042,http://dbpedia.org/resource/Literary_genre,http://dbpedia.org/resource/Literary_genre,http://dbpedia.org/resource/Literary_genre,http://dbpedia.org/resource/Literary_genre
2912,where did the film a hole in the head take place?,http://dbpedia.org/resource/A_Hole_in_the_Head,country,"[{'Predicate': 'http://dbpedia.org/ontology/country', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/A_Hole_in_the_Head,0.5256733894348145,,,,
2976,what is a work by mercedes lackey,http://dbpedia.org/resource/Mercedes_Lackey,book_from_author,"[{'Predicate': 'http://dbpedia.org/ontology/author', 'Direction': 'backward', 'Constraint': 'http://dbpedia.org/ontology/WrittenWork'}]",http://dbpedia.org/resource/Mercedes_Lackey,0.5,http://dbpedia.org/resource/Mercedes_Lackey,http://dbpedia.org/resource/Mercedes_Lackey,http://dbpedia.org/resource/Mercedes_Lackey,http://dbpedia.org/resource/Mercedes_Lackey
3045,Which country is the film bittersweet memories from,http://dbpedia.org/resource/Bittersweet_Memories_(film),country,"[{'Predicate': 'http://dbpedia.org/ontology/country', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Bittersweet_Memories_(film),0.32906463742256165,,,,
3052,What type of book is ysabel,http://dbpedia.org/resource/Ysabel,genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'forward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Movable_type,0.04684301093220711,,,,
3107,who published g-loc: air battle,http://dbpedia.org/resource/G-LOC:_Air_Battle,publisher,"[{'Predicate': 'http://dbpedia.org/ontology/publisher', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/G-LOC:_Air_Battle,0.6029627323150635,http://dbpedia.org/resource/G-LOC,http://dbpedia.org/resource/G-LOC,http://dbpedia.org/resource/G-LOC,http://dbpedia.org/resource/G-LOC
3115,Who authored the book honor thyself?,http://dbpedia.org/resource/Honor_Thyself,author_of_book,"[{'Predicate': 'http://dbpedia.org/ontology/author', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Honor_Thyself,0.5,,,,
3178,who wrote the brighter buccaneer,http://dbpedia.org/resource/The_Brighter_Buccaneer,author_of_book,"[{'Predicate': 'http://dbpedia.org/ontology/author', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/The_Brighter_Buccaneer,0.5,http://dbpedia.org/resource/Buccaneer,http://dbpedia.org/resource/Buccaneer,http://dbpedia.org/resource/Buccaneer,http://dbpedia.org/resource/Buccaneer
3194,Who is the author of the book lucas: a story of love and hate,http://dbpedia.org/resource/Lucas_(novel),author_of_book,"[{'Predicate': 'http://dbpedia.org/ontology/author', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/George_Lucas,0.10122869163751602,,,,
3228,what is a book in the genre autobiography,http://dbpedia.org/resource/Autobiography,books_in_genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'backward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'backward', 'Constraint': 'http://dbpedia.org/ontology/WrittenWork'}]",http://dbpedia.org/resource/Genre,0.2824784517288208,http://dbpedia.org/resource/Autobiography,http://dbpedia.org/resource/Autobiography,http://dbpedia.org/resource/Autobiography,http://dbpedia.org/resource/Autobiography
3326,Who wrote the tercentenary incident,http://dbpedia.org/resource/The_Tercentenary_Incident,author_of_book,"[{'Predicate': 'http://dbpedia.org/ontology/author', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/The_Tercentenary_Incident,0.5,http://dbpedia.org/resource/Anniversary,http://dbpedia.org/resource/Anniversary,http://dbpedia.org/resource/Anniversary,http://dbpedia.org/resource/Anniversary
3388,Name a novel,http://dbpedia.org/resource/Novel,books_in_genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'backward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'backward', 'Constraint': 'http://dbpedia.org/ontology/WrittenWork'}]",http://dbpedia.org/resource/Novel,0.11303260922431946,,,,
3462,where was the film the traveller filmed,http://dbpedia.org/resource/The_Traveller_(2009_film),country,"[{'Predicate': 'http://dbpedia.org/ontology/country', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Film,0.2132410705089569,,,,
3519,What genre is the book 99 coffins included in,http://dbpedia.org/resource/99_Coffins,genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'forward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/99_Coffins,0.5,,,,
3552,what is the book genre of fool moon?,http://dbpedia.org/resource/Fool_Moon_(The_Dresden_Files),genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'forward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Fool_Moon_(The_Dresden_Files),0.5,http://dbpedia.org/resource/Fool_Moon_(The_Dresden_Files),http://dbpedia.org/resource/Fool_Moon_(The_Dresden_Files),http://dbpedia.org/resource/Fool_Moon_(The_Dresden_Files),http://dbpedia.org/resource/Fool_Moon_(The_Dresden_Files)
3587,Who published monster hunter frontier online?,http://dbpedia.org/resource/Monster_Hunter_Frontier_Online,publisher,"[{'Predicate': 'http://dbpedia.org/ontology/publisher', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Monster_Hunter_Frontier_Online,0.5996396541595459,,,,
3593,what company created the game jet set radio,http://dbpedia.org/resource/Jet_Set_Radio,publisher,"[{'Predicate': 'http://dbpedia.org/ontology/publisher', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Jet_Set_Radio,0.6097750663757324,http://dbpedia.org/resource/Jet_Set_Radio,http://dbpedia.org/resource/Jet_Set_Radio,http://dbpedia.org/resource/Jet_Set_Radio,http://dbpedia.org/resource/Jet_Set_Radio
3625,what is the name of a science fiction book,http://dbpedia.org/resource/Science_fiction,books_in_genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'backward', 'Constraint': None}]",http://dbpedia.org/resource/Science_fiction,0.32220780849456787,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Science_fiction
